Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@23@23@29@30
Avg. Estimate@1.5@1.55@6.32@6.48
Low Estimate@1.18@1.32@5.74@5.07
High Estimate@1.92@1.87@6.99@7.74
Year Ago EPS@1.82@1.75@6.63@6.32
