Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@21@21@28@28
Avg. Estimate@5.36B@5.66B@22.45B@22.76B
Low Estimate@4.73B@4.87B@20.12B@19B
High Estimate@5.7B@6.47B@24.93B@29.95B
Year Ago Sales@5.68B@5.6B@22.45B@22.45B
