OWNER_NAME@DATE@SHARES_HELD@CHANGE(Shares)@CHANGE(%)@MARKET_VALUE
VANGUARD GROUP INC@03/31/2020@107,093,415@3,321,567@3.201%@$8,242,980
BLACKROCK INC.@03/31/2020@101,214,991@-5,258,603@-4.939%@$7,790,518
CAPITAL RESEARCH GLOBAL INVESTORS@03/31/2020@95,982,319@10,849,434@12.744%@$7,387,759
STATE STREET CORP@03/31/2020@56,805,210@-1,263,553@-2.176%@$4,372,297
CAPITAL INTERNATIONAL INVESTORS@03/31/2020@56,369,657@43,464,551@336.801%@$4,338,772
