Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@20@20@26@26
Avg. Estimate@6.16B@6.34B@25.38B@26.43B
Low Estimate@5.71B@6B@24.63B@24.99B
High Estimate@6.47B@6.61B@26B@27.45B
Year Ago Sales@5.87B@5.74B@23.75B@25.38B
