ActivePositions@Holders@Shares
Increased Positions@903@21,160,034
Decreased Positions@1,026@26,104,157
Held Positions@262@406,741,202
Total Institutional Shares@2,191@454,005,393
New Positions@103@1,249,636
Sold Out Positions@150@1,006,657
