Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@22@22@28@28
Avg. Estimate@3.82@3.89@15.56@16.9
Low Estimate@3.26@3.54@14.63@15.48
High Estimate@4.21@4.26@16.27@19.3
Year Ago EPS@3.97@3.66@14.82@15.56
