Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@28@27@32@32
Avg. Estimate@1.39@1.46@5.69@6.21
Low Estimate@1.35@1.36@5.65@5.87
High Estimate@1.51@1.59@5.81@6.86
Year Ago EPS@1.37@1.38@4.75@5.69
