Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@1.39@1.46@5.69@6.21
7 Days Ago@1.39@1.46@5.69@6.21
30 Days Ago@1.39@1.47@5.69@6.21
60 Days Ago@1.4@1.48@5.61@6.19
90 Days Ago@1.44@1.51@5.67@6.3
