Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@26@24@30@29
Avg. Estimate@36.5B@35.89B@141.5B@156.36B
Low Estimate@36.05B@35.04B@141.03B@150.76B
High Estimate@37.1B@36.78B@142.1B@161.62B
Year Ago Sales@33.72B@33.05B@125.84B@141.5B
