Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@1.43@2.59@8.01@11.2
7 Days Ago@1.41@2.59@7.91@11.07
30 Days Ago@1.39@2.59@7.85@11
60 Days Ago@1.4@2.32@7.95@10.97
90 Days Ago@2.35@2.32@9.16@11.81
