Name@Description@NoShare(Trillion)@KeyPeople
PRICE T ROWE ASSOCIATES INC /MD/@NO INFO@NO INFO@NO INFO
CAPITAL WORLD INVESTORS@NO INFO@NO INFO@NO INFO
CAPITAL INTERNATIONAL INVESTORS@NO INFO@NO INFO@NO INFO
FMR LLC@"Fidelity Investments Inc., commonly referred to as Fidelity, earlier as Fidelity Management & Research or FMR, is an American multinational financial services corporation based in Boston, Massachusetts.
It is one of the largest asset managers in the world with $2.46 trillion in assets under management as of March 2018 and a combined total customer asset value number of $6.7 trillion. Fidelity Investments operates a brokerage firm, manages a large family of mutual funds, provides fund distribution and investment advice, retirement services, Index funds, wealth management, cryptocurrency, securities execution and clearance, and life insurance."@2.46@['Abigail Johnson', 'CEO', 'CEO']
WCM INVESTMENT MANAGEMENT, LLC@NO INFO@NO INFO@NO INFO
