Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@1@1@4@4
Avg. Estimate@1.43@2.59@8.01@11.2
Low Estimate@1.43@2.59@7.58@10.74
High Estimate@1.43@2.59@9.24@11.67
Year Ago EPS@1.27@1.66@6.88@8.01
