Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@1@1@3@4
Avg. Estimate@3.83B@3.94B@14.14B@16.78B
Low Estimate@3.83B@3.94B@13.66B@16.09B
High Estimate@3.83B@3.94B@14.47B@18.14B
Year Ago Sales@2.88B@3.32B@13.23B@14.14B
