Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@28@25@32@31
Avg. Estimate@23.56B@24.67B@102.51B@110.9B
Low Estimate@22.33B@23.43B@99.26B@104.32B
High Estimate@24.18B@25.9B@107.15B@117.91B
Year Ago Sales@26.86B@26.83B@108.94B@102.51B
