Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@29@26@32@32
Avg. Estimate@0.51@0.46@2.32@2.91
Low Estimate@0.39@0.29@2.03@2.51
High Estimate@0.57@0.66@2.55@3.31
Year Ago EPS@0.78@0.79@3.13@2.32
