Firm@To Grade@From Grade@Action
Wunderlich@Buy@@main
Brean Capital@Buy@@main
Feltl & Co.@Hold@@main
McNicoll Lewis Vlak@Hold@@main
Jefferies@Buy@@main
Jefferies@Buy@@main
PiperJaffray@Overweight@@main
Canaccord Genuity@Buy@@main
Feltl & Co.@Hold@@main
Wedbush@Outperform@@main
Jefferies@Buy@@main
Canaccord Genuity@Buy@@main
Wunderlich@Buy@@main
Wunderlich@Buy@@main
Wunderlich@Hold@Buy@down
Feltl & Co.@Sell@Hold@down
Canaccord Genuity@Buy@@main
Northland Securities@Underperform@Market Perform@down
Jefferies@Buy@@main
JP Morgan@Overweight@@init
JP Morgan@Overweight@@init
Benchmark@Buy@@init
Northland Securities@Market Perform@Underperform@up
Jefferies@Buy@@main
Wedbush@Outperform@@main
Benchmark@Buy@@main
Feltl & Co.@Sell@Hold@down
Sterne Agee@Buy@Neutral@up
Leerink Swann@Market Perform@@main
Raymond James@Outperform@@main
Raymond James@Outperform@@main
JP Morgan@Overweight@@main
Cowen & Co.@Outperform@@init
JP Morgan@Overweight@@main
Sterne Agee@Neutral@Buy@down
JP Morgan@Overweight@@main
Oppenheimer@Perform@@main
Baird@Outperform@@init
Sterne Agee CRT@Buy@Neutral@up
Leerink Swann@Outperform@Market Perform@up
Morgan Stanley@Overweight@@init
Baird@Neutral@Outperform@down
Jefferies@Buy@@main
JP Morgan@Overweight@@main
BTIG Research@Buy@@init
Deutsche Bank@Buy@@main
BTIG Research@Neutral@Buy@down
Desjardins@Buy@Hold@up
BTIG Research@Buy@Neutral@up
Oppenheimer@Outperform@Perform@up
Morgan Stanley@Neutral@Overweight@down
BTIG Research@Neutral@Buy@down
BMO Capital@Outperformer@@main
Raymond James@Market Perform@Outperform@down
JP Morgan@Neutral@Overweight@down
Baird@Neutral@@main
Barclays@Equal-Weight@@main
Cowen & Co.@Outperform@@main
Canaccord Genuity@Buy@@main
Barclays@Equal-Weight@@main
Morgan Stanley@Neutral@@main
Northland Securities@Underperform@Market Perform@down
Canaccord Genuity@Buy@Buy@main
Baird@Outperform@Neutral@up
BMO Capital@Outperformer@Outperformer@main
Canaccord Genuity@Buy@Buy@main
Morgan Stanley@Equal-Weight@Equal-Weight@main
B. Riley FBR@Neutral@@init
B. Riley FBR@Buy@Neutral@up
JP Morgan@Overweight@Neutral@up
Raymond James@Outperform@Market Perform@up
BMO Capital@Outperformer@Outperformer@main
Canaccord Genuity@Buy@Buy@main
Bank of America@Buy@Buy@main
Jefferies@Buy@Buy@main
Morgan Stanley@Equal-Weight@Equal-Weight@main
Berenberg@Buy@Hold@up
Bank of America@Buy@Buy@main
Canaccord Genuity@Buy@Buy@main
Stephens & Co.@Overweight@Overweight@main
Baird@Outperform@Outperform@main
Northland Securities@Market Perform@Underperform@up
Morgan Stanley@Equal-Weight@Equal-Weight@main
Goldman Sachs@Neutral@Sell@up
Raymond James@Outperform@Outperform@main
Morgan Stanley@Equal-Weight@Equal-Weight@main
UBS@Neutral@Neutral@main
Morgan Stanley@Equal-Weight@Equal-Weight@main
UBS@Neutral@Neutral@main
Raymond James@Outperform@Outperform@main
BMO Capital@Outperform@Outperform@main
Raymond James@Outperform@@main
UBS@Neutral@@main
JP Morgan@Overweight@@main
Baird@Outperform@@main
Bank of America@Buy@@main
Baird@Outperform@@main
BMO Capital@Outperform@@main
UBS@Neutral@@main
JP Morgan@Overweight@@main
Baird@Outperform@@main
Morgan Stanley@Equal-Weight@@main
Stifel Nicolaus@Buy@@main
Canaccord Genuity@Buy@@main
Piper Jaffray@Overweight@@main
Raymond James@Outperform@@main
Morgan Stanley@Equal-Weight@@main
Bank of America@Buy@@reit
JP Morgan@Overweight@@main
Stephens & Co.@Overweight@@main
UBS@Neutral@@main
Raymond James@Outperform@@main
Oppenheimer@Outperform@@main
Canaccord Genuity@Buy@@main
CFRA@Hold@@main
Morgan Stanley@Equal-Weight@@main
Oppenheimer@Outperform@@main
Stephens & Co.@Overweight@@main
Morgan Stanley@Equal-Weight@@main
Raymond James@Outperform@@main
Raymond James@Outperform@@main
Oppenheimer@Outperform@@main
Morgan Stanley@Equal-Weight@@main
JP Morgan@Overweight@@main
Stifel@Buy@@main
Piper Sandler@Overweight@@main
Citigroup@Buy@@main
Guggenheim@Buy@@main
UBS@Neutral@@main
Piper Sandler@Overweight@@main
Raymond James@Outperform@@main
