Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@0.34@0.6@2.29@3
7 Days Ago@0.35@0.6@2.29@3
30 Days Ago@0.3@0.56@2.16@2.94
60 Days Ago@0.31@0.63@2.07@2.93
90 Days Ago@0.37@0.69@2.25@3.1
