Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@17@17@19@19
Avg. Estimate@414.96M@457.49M@1.79B@2.19B
Low Estimate@364.94M@408.9M@1.65B@2.02B
High Estimate@465.8M@516.4M@1.95B@2.4B
Year Ago Sales@336.4M@396.3M@1.48B@1.79B
