Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@19@18@23@24
Avg. Estimate@0.27@0.6@2.71@4.35
Low Estimate@-0.73@0.2@0.79@3.42
High Estimate@0.73@0.86@3.64@6.11
Year Ago EPS@1.78@1.75@6.87@2.71
