Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@12@13@16@17
Avg. Estimate@2.82B@3.34B@14.76B@17.9B
Low Estimate@1.84B@2.97B@12.9B@15.28B
High Estimate@3.49B@3.63B@16.11B@22.23B
Year Ago Sales@6.27B@6B@24.12B@14.76B
