Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@0.27@0.6@2.71@4.35
7 Days Ago@0.27@0.6@2.71@4.35
30 Days Ago@0.33@0.64@2.84@4.41
60 Days Ago@0.89@0.96@4.2@4.91
90 Days Ago@1.33@1.27@5.25@5.41
