Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@16@16@19@19
Avg. Estimate@254.24M@278.53M@1.08B@1.61B
Low Estimate@241M@253.5M@996.36M@1.29B
High Estimate@277.3M@315.4M@1.19B@1.99B
Year Ago Sales@218.45M@211.83M@916.71M@1.08B
