Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@1.2@1.5@8.01@7.07
7 Days Ago@1.2@1.5@8.01@7.06
30 Days Ago@1.1@1.55@7.92@7.39
60 Days Ago@1.24@1.66@8.04@7.69
90 Days Ago@2.16@2.44@8.78@9.64
