Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@11@9@13@13
Avg. Estimate@1.56B@1.6B@7.02B@6.87B
Low Estimate@1.54B@1.52B@7B@6.27B
High Estimate@1.58B@1.67B@7.05B@7.33B
Year Ago Sales@1.79B@1.81B@6.89B@7.02B
