Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@13@11@14@12
Avg. Estimate@1.2@1.5@8.01@7.07
Low Estimate@1.03@0.84@7.79@5.3
High Estimate@1.39@1.85@8.76@8.14
Year Ago EPS@2.07@2.32@7.6@8.01
