Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@23@23@26@26
Avg. Estimate@0.92@1.15@5.06@5.63
Low Estimate@0.7@1.02@4.75@5.2
High Estimate@1.2@1.38@5.56@6.34
Year Ago EPS@0.76@1.08@4.76@5.06
