Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@22@21@25@24
Avg. Estimate@6.16B@6.02B@25.11B@25.91B
Low Estimate@5.79B@5.93B@24.74B@25.33B
High Estimate@6.3B@6.12B@25.4B@26.65B
Year Ago Sales@5.74B@N/A@23.61B@25.11B
