OWNER_NAME@DATE@SHARES_HELD@CHANGE(Shares)@CHANGE(%)@MARKET_VALUE
VANGUARD GROUP INC@03/31/2020@26,248,043@546,858@2.128%@$2,460,229
BLACKROCK INC.@03/31/2020@19,657,751@-663,819@-3.267%@$1,842,521
PRICE T ROWE ASSOCIATES INC /MD/@03/31/2020@17,360,376@-7,545,904@-30.297%@$1,627,188
FMR LLC@03/31/2020@13,601,621@-1,864,530@-12.056%@$1,274,880
STATE STREET CORP@03/31/2020@10,200,775@-236,670@-2.268%@$956,119
