Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@20@20@24@25
Avg. Estimate@419.58M@462.46M@1.9B@2.26B
Low Estimate@395.3M@441M@1.83B@1.91B
High Estimate@448M@487.2M@1.99B@3.03B
Year Ago Sales@387.76M@461.1M@1.7B@1.9B
