Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@24@24@26@28
Avg. Estimate@544.19M@2.05B@7.03B@11.83B
Low Estimate@159M@349.86M@3.29B@8.02B
High Estimate@1.19B@2.66B@8.18B@17.1B
Year Ago Sales@3.85B@5.04B@15.07B@7.03B
