Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@-11.52@10.7@17.34@72.31
7 Days Ago@-11.47@10.14@17.1@73.18
30 Days Ago@2.76@26.82@55.13@99.16
60 Days Ago@7.49@31.87@66.01@105.23
90 Days Ago@14.96@39.77@87.25@117.52
