Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@21@21@25@25
Avg. Estimate@1.08@1.05@4.27@4.99
Low Estimate@1.02@0.8@3.94@4.28
High Estimate@1.09@1.19@4.49@5.49
Year Ago EPS@1.26@1.19@5.15@4.27
