Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@21@21@25@25
Avg. Estimate@1.32B@1.32B@5.27B@5.69B
Low Estimate@1.32B@1.27B@5.21B@4.96B
High Estimate@1.32B@1.39B@5.34B@6.05B
Year Ago Sales@1.48B@1.44B@5.99B@5.27B
