Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@1.08@1.05@4.27@4.99
7 Days Ago@1.08@1.05@4.27@5.01
30 Days Ago@1.03@1.18@4.3@5.14
60 Days Ago@1.06@1.21@4.37@5.22
90 Days Ago@1.23@1.37@4.75@5.68
