Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@22@22@20@21
Avg. Estimate@0.84@1.03@4.62@6.8
Low Estimate@0.81@0.86@4.1@5.08
High Estimate@0.88@1.22@5.05@8.33
Year Ago EPS@1.91@2.02@7.55@4.62
