Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@21@21@22@21
Avg. Estimate@1.8B@1.87B@7.72B@8.74B
Low Estimate@1.8B@1.8B@7.54B@8.25B
High Estimate@1.81B@1.97B@7.9B@9.33B
Year Ago Sales@2.22B@2.27B@8.88B@7.72B
