Unnamed: 0|Unnamed: 0.1|Date_x|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX|prctChangeOPEN|TargetProbability|Date_y|No Articles|Date_x|No_Articles_x|Date_y|No_Articles_y
0|0|2012-01-03|53.49|54.13|52.87|52.97|1557377|USD|0|0.983|0.5760567824331367|2010-11-19|1|2010-11-19|1|2010-11-19|1
1|1|2012-01-04|52.58|52.9|51.72|51.73|1892769|USD|1|0.9840000000000001|0.5844156750523467|2010-12-03|1|2010-12-03|1|2010-12-03|1
2|2|2012-01-05|51.76|52.37|51.08|52.27|1522113|USD|2|1.006|0.6016474147822226|2011-04-12|1|2011-04-12|1|2011-04-12|1
3|3|2012-01-06|52.06|52.1|51.06|51.36|1667002|USD|3|0.99|0.5887761493316123|2011-05-18|1|2011-05-18|1|2011-05-18|1
4|4|2012-01-09|51.55|51.89|50.64|51.33|2403838|USD|4|1.001|0.5977509842749168|2011-08-05|1|2011-08-05|1|2011-08-05|1
5|5|2012-01-10|51.61|52.7|51.24|52.59|2203151|USD|5|1.0190000000000001|0.6061710954984545|2011-08-24|1|2011-08-24|1|2011-08-24|1
6|6|2012-01-11|52.6|53.09|52.19|52.28|1472930|USD|6|0.9990000000000001|0.5832420403494821|2011-12-13|1|2011-12-13|1|2011-12-13|1
7|7|2012-01-12|52.57|52.89|52.13|52.33|1691209|USD|7|0.996|0.5823874259576788|2011-12-30|1|2011-12-30|1|2011-12-30|1
8|8|2012-01-13|52.37|52.37|50.82|50.9|4326884|USD|8|0.993|0.5958330986658601|2012-01-06|1|2012-01-06|1|2012-01-06|1
9|9|2012-01-17|52.0|55.18|51.7|54.88|6797852|USD|9|1.061|0.5920595175659739|2012-01-16|1|2012-01-16|1|2012-01-16|1
10|10|2012-01-18|55.16|55.49|54.29|54.69|1725508|USD|10|0.997|0.5596329122979613|2012-01-18|1|2012-01-18|1|2012-01-18|1
11|11|2012-01-19|54.97|55.21|54.35|54.41|1570334|USD|11|0.9890000000000001|0.5757670290087054|2012-03-26|1|2012-03-26|1|2012-03-26|1
12|12|2012-01-20|54.39|55.32|54.16|54.75|1911643|USD|12|1.0090000000000001|0.5794684921401895|2012-04-25|1|2012-04-25|1|2012-04-25|1
13|13|2012-01-23|54.88|55.97|54.59|55.83|1772920|USD|13|1.011|0.5480566448317205|2012-07-17|2|2012-07-17|2|2012-07-17|2
14|14|2012-01-24|55.51|56.92|55.3|56.52|2133753|USD|14|1.018|0.5452128146019283|2012-07-19|1|2012-07-19|1|2012-07-19|1
15|15|2012-01-25|56.5|57.16|56.28|56.56|1772958|USD|15|1.008|0.5452128146019215|2012-08-28|1|2012-08-28|1|2012-08-28|1
16|16|2012-01-26|56.95|57.07|55.16|55.63|1604170|USD|16|0.9740000000000001|0.5480566448317202|2012-10-16|1|2012-10-16|1|2012-10-16|1
17|17|2012-01-27|55.48|56.62|55.22|56.28|1163890|USD|17|1.003|0.583988849505269|2012-10-17|2|2012-10-17|2|2012-10-17|2
18|18|2012-01-30|55.64|56.72|54.91|56.47|1054348|USD|18|1.0170000000000001|0.5945930519841799|2012-10-18|2|2012-10-18|2|2012-10-18|2
19|19|2012-01-31|56.61|56.61|55.58|56.29|1282937|USD|19|1.0070000000000001|0.5885664115154832|2013-01-03|1|2013-01-03|1|2013-01-03|1
20|20|2012-02-01|57.0|58.03|56.46|57.81|2640319|USD|20|1.013|0.5787350025398738|2013-01-30|1|2013-01-30|1|2013-01-30|1
21|21|2012-02-02|57.75|58.35|57.55|58.11|1350216|USD|21|1.013|0.5829889056417051|2013-03-13|1|2013-03-13|1|2013-03-13|1
22|22|2012-02-03|58.5|59.22|58.42|59.11|1805237|USD|22|1.004|0.5603499840353531|2013-03-25|1|2013-03-25|1|2013-03-25|1
23|23|2012-02-06|58.74|58.87|57.95|58.05|1600310|USD|23|0.9890000000000001|0.5571079965451083|2013-03-26|1|2013-03-26|1|2013-03-26|1
24|24|2012-02-07|58.11|58.72|57.71|58.39|1075190|USD|24|1.001|0.5726068137078679|2013-04-04|1|2013-04-04|1|2013-04-04|1
25|25|2012-02-08|58.16|58.54|57.19|58.09|905414|USD|25|1.002|0.5556817011427353|2013-04-08|1|2013-04-08|1|2013-04-08|1
26|26|2012-02-09|58.28|58.61|57.63|58.6|800502|USD|26|0.9990000000000001|0.5701865449251875|2013-04-19|1|2013-04-19|1|2013-04-19|1
