Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@1.43@1.48@6.36@6.72
7 Days Ago@1.43@1.48@6.36@6.72
30 Days Ago@1.44@1.49@6.36@6.71
60 Days Ago@1.44@1.5@6.39@6.75
90 Days Ago@1.48@1.52@6.47@6.83
