Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@26@25@29@30
Avg. Estimate@1.43@1.48@6.36@6.72
Low Estimate@1.36@1.38@6.08@6.11
High Estimate@1.5@1.52@6.57@7.07
Year Ago EPS@1.38@1.44@6.13@6.36
