Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@23@23@26@27
Avg. Estimate@488.04M@493.17M@2.01B@2.07B
Low Estimate@476.42M@483.62M@1.95B@1.95B
High Estimate@501.39M@503M@2.06B@2.14B
Year Ago Sales@488.12M@490.91M@1.99B@2.01B
