Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@13@12@24@25
Avg. Estimate@4.41@4.43@18.01@20.66
Low Estimate@3.86@3.75@16.51@16.12
High Estimate@4.86@5.07@19.44@25.09
Year Ago EPS@3.96@5.12@17.06@18.01
