Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@14@12@29@29
Avg. Estimate@2.41B@2.48B@9.9B@11.33B
Low Estimate@2.26B@2.32B@9.54B@10.57B
High Estimate@2.61B@2.69B@10.71B@13.04B
Year Ago Sales@2.65B@2.07B@8.36B@9.9B
