Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@4.41@4.43@18.01@20.66
7 Days Ago@4.38@4.4@17.91@20.61
30 Days Ago@4.18@4.35@17.43@19.67
60 Days Ago@29.28@30.58@122.67@138.97
90 Days Ago@29.48@30.73@122.93@139.17
