Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@19@17@35@36
Avg. Estimate@0.36@0.38@1.31@1.96
Low Estimate@0.24@0.27@0.96@0.33
High Estimate@0.46@0.5@1.82@2.51
Year Ago EPS@0.32@0.29@1.03@1.31
