Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@22@19@38@40
Avg. Estimate@26.62B@23.48B@100.34B@119.24B
Low Estimate@25.22B@22.68B@95.45B@114.35B
High Estimate@27.31B@24.05B@102.34B@125.24B
Year Ago Sales@21.22B@19.04B@81.45B@100.34B
