Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@18@18@20@19
Avg. Estimate@1.27B@1.25B@5.09B@5.61B
Low Estimate@1.2B@1.18B@4.78B@5.19B
High Estimate@1.29B@1.35B@5.36B@6.06B
Year Ago Sales@1.32B@1.34B@5.27B@5.09B
