OWNER_NAME@DATE@SHARES_HELD@CHANGE(Shares)@CHANGE(%)@MARKET_VALUE
VANGUARD GROUP INC@03/31/2020@29,388,879@728,314@2.541%@$3,187,812
DODGE & COX@03/31/2020@28,351,397@3,315,251@13.242%@$3,075,276
BLACKROCK INC.@03/31/2020@17,637,923@607,901@3.57%@$1,913,186
JANUS HENDERSON GROUP PLC@03/31/2020@14,250,012@1,244,503@9.569%@$1,545,699
PRICE T ROWE ASSOCIATES INC /MD/@03/31/2020@13,273,507@-3,106,339@-18.964%@$1,439,777
