Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@1.39@1.36@5.73@6.7
7 Days Ago@1.34@1.31@5.53@6.58
30 Days Ago@1.29@1.32@5.42@6.49
60 Days Ago@1.31@1.42@5.66@6.68
90 Days Ago@1.45@1.61@6.35@7.3
