Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@19@19@21@19
Avg. Estimate@1.39@1.36@5.73@6.7
Low Estimate@1.24@1.07@4.75@5.86
High Estimate@1.45@1.65@6.44@7.86
Year Ago EPS@1.41@1.43@5.62@5.73
