Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@2.37@2.23@9.92@10.11
7 Days Ago@2.37@2.22@9.92@10.09
30 Days Ago@2.16@2.17@9.76@9.98
60 Days Ago@2.19@2.18@9.81@10.15
90 Days Ago@2.57@2.57@10.27@11.35
