Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@15@15@18@18
Avg. Estimate@1.4B@1.36B@5.74B@5.75B
Low Estimate@1.4B@1.07B@5.62B@5.31B
High Estimate@1.42B@1.43B@5.76B@6.21B
Year Ago Sales@1.26B@1.41B@4.57B@5.74B
