Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@16@16@18@19
Avg. Estimate@2.37@2.23@9.92@10.11
Low Estimate@2.34@1.36@8.74@8.12
High Estimate@2.45@2.51@10.2@11.54
Year Ago EPS@1.78@2.48@8.46@9.92
