Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@1.12@1.45@5.6@6.57
7 Days Ago@1.13@1.44@5.6@6.54
30 Days Ago@1.25@1.58@5.86@6.96
60 Days Ago@1.34@1.7@6.06@7.22
90 Days Ago@1.44@1.85@6.27@7.6
