Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@24@24@26@26
Avg. Estimate@690.05M@804.07M@3.15B@3.47B
Low Estimate@681.09M@730M@3.08B@3.2B
High Estimate@696.27M@976M@3.31B@3.75B
Year Ago Sales@N/A@827.4M@3.38B@3.15B
