OWNER_NAME@DATE@SHARES_HELD@CHANGE(Shares)@CHANGE(%)@MARKET_VALUE
VANGUARD GROUP INC@03/31/2020@19,348,827@439,516@2.324%@$2,607,061
BLACKROCK INC.@03/31/2020@14,830,161@1,127,661@8.23%@$1,998,216
VULCAN VALUE PARTNERS, LLC@03/31/2020@8,671,296@1,934,711@28.719%@$1,168,370
STATE STREET CORP@03/31/2020@7,989,026@-39,517@-0.492%@$1,076,441
PRICE T ROWE ASSOCIATES INC /MD/@03/31/2020@5,702,980@-893,202@-13.541%@$768,420
