Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@26@26@26@28
Avg. Estimate@1.12@1.45@5.6@6.57
Low Estimate@0.91@1.15@5.43@5.1
High Estimate@1.16@1.99@5.88@7.69
Year Ago EPS@1.35@1.52@6.17@5.6
