Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@20@20@21@22
Avg. Estimate@3.67@4.83@16.75@19.84
Low Estimate@2.21@3.54@14.22@18.52
High Estimate@4.99@5.38@19.03@21.26
Year Ago EPS@4.51@5.08@17.88@16.75
