Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@25@25@19@28
Avg. Estimate@0.2@1.81@4.56@11
Low Estimate@-1.56@1.02@2.3@6.25
High Estimate@1.75@2.63@6.29@12.75
Year Ago EPS@2.76@2.25@12.15@4.56
