OWNER_NAME@DATE@SHARES_HELD@CHANGE(Shares)@CHANGE(%)@MARKET_VALUE
VANGUARD GROUP INC@03/31/2020@6,234,849@139,883@2.295%@$1,587,206
BLACKROCK INC.@03/31/2020@4,022,059@18,600@0.465%@$1,023,896
ALLIANCEBERNSTEIN L.P.@03/31/2020@2,948,223@-48,318@-1.612%@$750,529
PRICE T ROWE ASSOCIATES INC /MD/@03/31/2020@2,692,330@379,928@16.43%@$685,386
STATE STREET CORP@03/31/2020@2,422,246@-90,728@-3.61%@$616,631
