ActivePositions@Holders@Shares
Increased Positions@334@7,582,009
Decreased Positions@385@6,393,408
Held Positions@123@62,182,753
Total Institutional Shares@842@76,158,170
New Positions@85@1,996,764
Sold Out Positions@87@749,946
