Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@7@7@8@8
Avg. Estimate@588.19M@645.5M@2.51B@2.79B
Low Estimate@558.52M@624.2M@2.48B@2.62B
High Estimate@638.46M@673M@2.57B@2.88B
Year Ago Sales@620.1M@605.3M@2.41B@2.51B
