Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@1.16@1.31@4.9@5.9
7 Days Ago@1.12@1.3@4.87@5.9
30 Days Ago@1.12@1.29@4.86@5.88
60 Days Ago@1.41@1.37@5.25@6.15
90 Days Ago@1.59@1.38@5.49@6.3
