Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@7@7@9@9
Avg. Estimate@1.16@1.31@4.9@5.9
Low Estimate@0.89@1.25@4.41@5.12
High Estimate@1.49@1.41@5.33@6.24
Year Ago EPS@1.43@1.24@4.89@4.9
