Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@11@10@14@14
Avg. Estimate@1.77B@3.05B@13.34B@18.13B
Low Estimate@912M@1.97B@10.17B@13.77B
High Estimate@4.53B@4.56B@18.94B@21.62B
Year Ago Sales@5.3B@5.28B@20.97B@13.34B
